strategy,thres_schema,thres_item_final,rep,mean_AC,mean_RT,mean_performance
payoff_oriented,15,10,4,0.3815789473684211,14.261157894736831,29.44736842105263
payoff_oriented,15,10,5,0.23684210526315788,14.381552631578938,22.973684210526315
payoff_oriented,15,10,6,0.368421052631579,15.468315789473673,28.26315789473684
payoff_oriented,15,10,7,0.11111111111111108,22.851277777777998,19.63888888888889
payoff_oriented,15,10,8,0.34375,35.568718749999036,27
payoff_oriented,15,10,9,0.14473684210526308,14.829421052631568,18.973684210526315
payoff_oriented,15,10,10,0.26315789473684215,18.619447368421167,28.105263157894736
payoff_oriented,15,12.5,1,0.18421052631578946,17.022210526315778,22.473684210526315
payoff_oriented,15,12.5,2,0.1388888888888889,20.150333333333318,19.13888888888889
payoff_oriented,15,12.5,3,0.3472222222222222,20.216416666666778,25.22222222222222
payoff_oriented,15,12.5,4,0.2777777777777778,21.446583333333358,26.27777777777778
payoff_oriented,15,12.5,5,0.3026315789473685,18.33692105263162,24.894736842105264
payoff_oriented,15,12.5,6,0.3157894736842105,16.465184210526303,26.13157894736842
payoff_oriented,15,12.5,7,0.125,21.156833333333324,20.02777777777778
payoff_oriented,15,12.5,8,0.22222222222222218,20.431611111111312,23.805555555555557
payoff_oriented,15,12.5,9,0.3,42.24656666666614,26.766666666666666
payoff_oriented,15,12.5,10,0.39473684210526316,18.06402631578946,28.57894736842105
payoff_oriented,15,15,1,0.25,22.139611111111094,23.083333333333336
payoff_oriented,15,15,2,0.5833333333333334,20.382472222222205,33.47222222222222
payoff_oriented,15,15,3,0.29166666666666663,23.273194444444428,25.666666666666664
payoff_oriented,15,15,4,0.2638888888888889,22.261611111111094,24.666666666666664
payoff_oriented,15,15,5,0.23611111111111108,24.49150000000027,24.22222222222222
payoff_oriented,15,15,6,0.31944444444444436,21.014500000000012,24.63888888888889
payoff_oriented,15,15,7,0.375,23.840833333333407,25.22222222222222
payoff_oriented,15,15,8,0.338235294117647,32.44661764705915,27.294117647058822
payoff_oriented,15,15,9,0.23611111111111108,24.982888888888954,25.25
payoff_oriented,15,15,10,0.338235294117647,28.113823529412176,26.058823529411764
payoff_oriented,20,10,1,0.18421052631578946,17.309552631578935,21.36842105263158
payoff_oriented,20,10,2,0.26315789473684215,17.224473684210512,22.36842105263158
payoff_oriented,20,10,3,0.2777777777777778,20.00800000000003,23.944444444444443
payoff_oriented,20,10,4,0.39473684210526316,21.789842105263148,30.86842105263158
payoff_oriented,20,10,5,0.4027777777777778,21.0128055555558,31.083333333333336
payoff_oriented,20,10,6,0.3684210526315789,19.54889473684209,28.026315789473685
payoff_oriented,20,10,7,0.3055555555555556,20.028333333333318,25.86111111111111
payoff_oriented,20,10,8,0.3815789473684211,24.000289473684727,28.52631578947368
payoff_oriented,20,10,9,0.32894736842105265,24.896026315789886,29.42105263157895
payoff_oriented,20,10,10,0.21052631578947367,18.306421052631563,24.315789473684212
payoff_oriented,20,12.5,1,0.48684210526315785,19.64360526315788,35.631578947368425
payoff_oriented,20,12.5,2,0.20833333333333331,21.888833333333316,24.13888888888889
payoff_oriented,20,12.5,3,0.3055555555555556,21.91594444444449,27.694444444444443
