Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,param_w,param_Phi,param_thres_item_final,param_thres_schema,param_theta_shift,rep
1,6,12,1,9,8.478999999999994,18,75,72,63,108,70,8.600999999999994,9.332999999999993,4.147999999999997,1.1589999999999994,19,19,16,11,76,80,34,12,4,0.5,26,3.5,6,Lc,0.11317105263157895,0.1166625,0.122,0.09658333333333333,0.5,20,15,30,1,3
1,7,13,1,1,7.746999999999994,20,65,82,73,83,84,9.393999999999993,1.524999999999999,6.221999999999995,6.465999999999995,20,11,15,17,80,14,47,55,3,1,36,3,6,Lc,0.11742499999999999,0.10892857142857143,0.13238297872340427,0.11756363636363636,0.5,20,15,30,1,3
1,7,14,1,9,7.807999999999994,20,77,72,64,67,119,8.173999999999994,5.245999999999996,7.258999999999994,15.981999999999987,20,19,18,17,81,48,57,123,4,0.5,26,3.5,6,Lc,0.10091358024691359,0.10929166666666666,0.12735087719298246,0.12993495934959348,0.5,20,15,30,1,3
1,8,15,1,10,7.502999999999994,17,63,96,91,88,99,12.13899999999999,1.8299999999999987,0.061,11.284999999999991,20,9,1,17,96,15,1,102,3,0.5,20,2.75,6,Lc,0.12644791666666666,0.122,0.061,0.11063725490196079,0.5,20,15,30,1,3
1,8,16,1,6,9.271999999999993,17,74,8,4,6,33,10.796999999999992,10.186999999999992,0.9149999999999996,1.8909999999999987,20,18,5,9,88,82,5,21,6,0.5,41,5.75,6,Lc,0.12269318181818181,0.12423170731707317,0.183,0.09004761904761904,0.5,20,15,30,1,3
1,9,17,1,7,8.295999999999994,18,65,15,24,21,14,14.70099999999999,0.8539999999999996,3.476999999999997,4.940999999999996,20,4,16,16,115,6,32,44,6,1,72,6,6,Lc,0.12783478260869566,0.14233333333333334,0.10865625,0.11229545454545455,0.5,20,15,30,1,3
1,9,18,1,2,11.284999999999991,16,96,59,50,51,7,18.116999999999987,3.903999999999997,0.305,19.031999999999986,20,14,4,17,154,24,4,155,4,0.5,30,4.5,6,Lc,0.11764285714285715,0.16266666666666665,0.07625,0.12278709677419354,0.5,20,15,30,1,3
1,10,19,1,7,9.332999999999993,18,75,23,66,19,15,12.32199999999999,7.990999999999993,0.305,0.122,20,18,3,1,96,56,3,1,6,0.5,40,5.5,6,Lc,0.12835416666666666,0.14269642857142856,0.10166666666666667,0.122,0.5,20,15,30,1,3
1,10,20,1,2,4.147999999999997,15,31,57,58,2,11,5.977999999999996,2.0739999999999985,15.676999999999987,0.7319999999999998,20,14,18,7,47,20,132,8,4,0,20,5,6,Lc,0.12719148936170213,0.1037,0.1187651515151515,0.0915,0.5,20,15,30,1,3
1,11,21,1,5,7.502999999999994,18,71,41,42,12,11,7.746999999999994,5.611999999999996,10.308999999999992,21.776999999999983,20,17,18,17,73,49,94,193,5,0,22,5.5,6,Lc,0.10612328767123287,0.11453061224489795,0.10967021276595744,0.1128341968911917,0.5,20,15,30,1,3
1,11,22,1,10,5.7339999999999955,17,50,13,96,89,34,47.57999999999996,0.061,0.061,0.305,20,1,1,2,385,1,1,2,3,0,17,4.25,6,Lc,0.12358441558441557,0.061,0.061,0.1525,0.5,20,15,30,1,3
1,12,23,1,7,6.953999999999994,19,65,22,17,19,18,10.857999999999992,10.369999999999992,0.7929999999999997,3.4159999999999973,20,18,8,15,91,89,9,30,6,1,72,6,6,Lc,0.11931868131868133,0.11651685393258426,0.08811111111111111,0.11386666666666666,0.5,20,15,30,1,3
