Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,strategy,combo_id,thres_schema,thres_item_final,model,risk,run,attempt
1,11,22,1,3,2.439999999999998,8,12,33,63,70,68,37.39299999999997,3.4159999999999973,4.574999999999997,3.842999999999997,20,14,14,11,176,18,25,17,5,0.5,29,4.25,5,Lc,0.21246022727272726,0.18977777777777777,0.183,0.22605882352941176,bonus_oriented,1,50,45,original,Lc,3,1
1,12,23,1,10,12.74899999999999,18,60,85,86,88,95,28.547999999999977,9.210999999999993,2.1959999999999984,3.9649999999999967,20,16,7,12,126,36,8,17,3,1,36,3,5,Lc,0.22657142857142856,0.2558611111111111,0.27449999999999997,0.23323529411764704,bonus_oriented,1,50,45,original,Lc,3,1
1,12,24,1,6,6.8929999999999945,11,34,3,5,2,1,14.090999999999989,0.244,3.476999999999997,10.125999999999992,20,2,11,16,62,2,17,41,6,1,72,6,5,Lc,0.22727419354838707,0.122,0.20452941176470588,0.24697560975609753,bonus_oriented,1,50,45,original,Lc,3,1
1,13,25,1,2,15.737999999999987,14,72,55,49,41,39,25.55899999999998,19.031999999999986,16.469999999999988,10.247999999999992,20,19,18,15,115,88,63,41,4,0,18,4.5,5,Lc,0.22225217391304347,0.21627272727272726,0.2614285714285714,0.2499512195121951,bonus_oriented,1,50,45,original,Lc,3,1
1,13,26,1,3,6.8929999999999945,15,31,27,25,32,30,7.8079999999999945,9.576999999999993,17.567999999999987,2.500999999999998,17,19,18,11,33,46,81,13,5,1,60,5,5,Lc,0.2366060606060606,0.20819565217391303,0.21688888888888885,0.19238461538461538,bonus_oriented,1,50,45,original,Lc,3,1
1,14,27,1,5,15.554999999999987,19,77,40,38,81,73,31.353999999999974,9.332999999999993,16.591999999999988,0.488,20,17,18,2,156,46,85,2,5,0,16,4,5,Lc,0.20098717948717948,0.20289130434782607,0.19519999999999998,0.244,bonus_oriented,1,50,45,original,Lc,3,1
1,14,28,1,3,7.380999999999994,13,27,34,27,32,35,8.173999999999994,5.916999999999995,5.184999999999996,8.295999999999994,16,11,12,15,30,20,21,29,5,1,60,5,5,Lc,0.27246666666666663,0.2958499999999999,0.24690476190476188,0.2860689655172413,bonus_oriented,1,50,45,original,Lc,3,1
1,1,1,0,8,17.933999999999987,19,75,109,115,30,34,27.99899999999998,13.35899999999999,2.805999999999998,4.025999999999997,20,19,10,10,118,48,13,14,2,0,14,3.5,5,Lc,0.23727966101694914,0.27831249999999996,0.21584615384615383,0.2875714285714285,bonus_oriented,1,50,45,original,Lc,4,1
1,1,2,0,9,12.44399999999999,16,57,63,65,104,14,22.081999999999983,8.661999999999994,1.9519999999999986,8.478999999999994,20,16,10,15,93,32,14,41,4,0,16,4,5,Lc,0.23744086021505373,0.27068749999999997,0.13942857142857143,0.20680487804878045,bonus_oriented,1,50,45,original,Lc,4,1
1,2,3,0,7,15.798999999999987,20,69,91,15,14,114,46.96999999999996,0.366,1.1589999999999994,8.966999999999993,20,3,6,16,190,3,6,34,6,0,17,4.25,5,Lc,0.24721052631578944,0.122,0.19316666666666665,0.263735294117647,bonus_oriented,1,50,45,original,Lc,4,1
