Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,agent,model,risk,run
1,12,23,1,6,14.212999999999989,19,70,1,4,3,76,14.273999999999988,6.221999999999995,1.1589999999999994,3.537999999999997,20,15,8,11,71,26,9,19,6,0.5,39,5.25,6,Lc,0.20104225352112676,0.23930769230769228,0.12877777777777777,0.18621052631578947,baseline,original,Lc,2
1,12,24,1,4,13.846999999999989,16,59,17,97,103,13,19.092999999999986,5.611999999999996,0.183,1.8299999999999987,20,17,2,11,77,28,2,12,2,0,16,4,6,Lc,0.24796103896103894,0.2004285714285714,0.0915,0.1525,baseline,original,Lc,2
1,13,25,1,6,6.160999999999995,15,26,1,11,86,10,13.29799999999999,0.183,1.1589999999999994,1.7079999999999989,20,1,7,8,54,1,8,8,6,0.5,39,5.25,6,Lc,0.24625925925925923,0.183,0.144875,0.2135,baseline,original,Lc,2
1,13,26,1,2,10.308999999999992,17,39,16,50,84,59,15.12799999999999,1.1589999999999994,0.9759999999999995,0.244,20,6,4,3,59,8,4,3,4,0,17,4.25,6,Lc,0.25640677966101694,0.144875,0.244,0.08133333333333333,baseline,original,Lc,2
1,14,27,1,2,8.051999999999994,14,39,55,54,58,19,13.175999999999991,1.585999999999999,1.3419999999999992,2.3179999999999983,20,4,6,8,66,5,6,11,4,0.5,30,4.5,6,Lc,0.19963636363636364,0.3172,0.22366666666666665,0.21072727272727268,baseline,original,Lc,2
1,14,28,1,3,10.674999999999992,15,52,28,33,27,26,10.796999999999992,5.7339999999999955,8.234999999999994,0.9759999999999995,16,14,15,4,53,19,39,4,5,1,60,5,6,Lc,0.20371698113207545,0.3017894736842105,0.21115384615384614,0.244,baseline,original,Lc,2
1,15,29,1,4,6.648999999999995,13,30,101,108,91,104,8.966999999999993,2.3789999999999982,2.744999999999998,1.0979999999999994,20,10,9,5,41,13,14,6,2,0.5,15,2.25,6,Lc,0.21870731707317073,0.183,0.19607142857142856,0.183,baseline,original,Lc,2
1,15,30,1,2,14.151999999999989,19,67,114,109,119,79,16.40899999999999,5.306999999999996,9.759999999999993,2.805999999999998,20,14,16,8,74,24,44,10,4,0.5,15,2.25,6,Lc,0.22174324324324324,0.221125,0.2218181818181818,0.28059999999999996,baseline,original,Lc,2
1,16,31,1,10,6.8319999999999945,16,37,86,96,54,55,11.223999999999991,1.463999999999999,0.244,0.427,20,8,1,1,49,10,1,1,3,0,14,3.5,6,Lc,0.22906122448979588,0.1464,0.244,0.427,baseline,original,Lc,2
1,16,32,1,5,7.441999999999994,15,35,41,45,8,37,9.271999999999993,0.6709999999999998,26.96199999999998,0.061,20,5,17,1,43,5,104,1,5,0.5,36,5.25,6,Lc,0.2156279069767442,0.13419999999999999,0.25925,0.061,baseline,original,Lc,2
1,17,33,1,9,13.05399999999999,15,62,85,61,90,6,15.981999999999987,0.6709999999999998,10.003999999999992,18.238999999999987,20,4,17,16,75,4,49,78,4,0,16,4,6,Lc,0.21309333333333333,0.16775,0.20416326530612244,0.2338333333333333,baseline,original,Lc,2
1,17,34,1,5,4.635999999999997,12,22,13,107,55,99,60.38999999999995,0.061,0.7319999999999998,0.7929999999999997,20,1,3,5,262,1,3,6,5,0,14,3.5,6,Lc,0.23049618320610685,0.061,0.24399999999999997,0.13216666666666665,baseline,original,Lc,2
1,1,1,0,5,11.77299999999999,19,53,37,38,3,45,15.066999999999988,8.173999999999994,2.0129999999999986,0.183,20,19,8,1,67,44,10,1,5,0.5,36,5.25,6,Lc,0.22488059701492535,0.18577272727272726,0.2013,0.183,baseline,original,Lc,3
1,1,2,0,8,5.7339999999999955,16,33,111,113,58,55,9.881999999999993,3.9649999999999967,2.683999999999998,0.366,20,10,9,1,52,14,12,1,2,0,12,3,6,Lc,0.19003846153846154,0.2832142857142857,0.22366666666666665,0.366,baseline,original,Lc,3
1,2,3,0,7,10.918999999999992,18,62,21,29,107,34,16.40899999999999,13.968999999999989,3.598999999999997,1.8909999999999987,20,19,12,8,82,50,18,10,6,0,18,4.5,6,Lc,0.20010975609756096,0.27937999999999996,0.19994444444444445,0.1891,baseline,original,Lc,3
1,2,4,0,5,4.940999999999996,12,23,46,47,74,48,11.83399999999999,1.8909999999999987,3.659999999999997,2.439999999999998,20,9,12,9,51,10,15,11,5,0.5,33,4.5,6,Lc,0.2320392156862745,0.1891,0.24399999999999997,0.2218181818181818,baseline,original,Lc,3
1,3,5,0,8,13.35899999999999,19,56,114,57,115,118,14.273999999999988,5.123999999999996,0.9759999999999995,1.4029999999999991,20,13,3,8,59,21,3,9,2,0.5,16,2.5,6,Lc,0.24193220338983049,0.24399999999999997,0.3253333333333333,0.15588888888888888,baseline,original,Lc,3
1,3,6,0,6,4.940999999999996,10,23,2,12,108,97,9.149999999999993,1.524999999999999,11.162999999999991,2.1349999999999985,20,7,14,9,38,7,40,10,6,0,16,4,6,Lc,0.2407894736842105,0.21785714285714286,0.27907499999999996,0.2135,baseline,original,Lc,3
1,4,7,0,10,6.648999999999995,14,28,86,92,101,89,9.271999999999993,2.9279999999999977,0.9149999999999996,1.1589999999999994,20,9,2,7,38,12,2,7,3,0.5,20,2.75,6,Lc,0.24399999999999997,0.24399999999999994,0.4574999999999998,0.16557142857142856,baseline,original,Lc,3
1,4,8,0,1,10.735999999999992,15,50,82,3,78,75,15.49399999999999,1.1589999999999994,0.244,3.598999999999997,20,4,2,12,65,4,2,19,3,0.5,24,3.75,6,Lc,0.23836923076923075,0.28974999999999995,0.122,0.18942105263157893,baseline,original,Lc,3
1,5,9,0,1,10.491999999999992,16,48,3,9,60,78,27.144999999999982,0.061,0.6099999999999999,0.122,20,1,3,2,124,1,3,2,3,0,19,4.75,6,Lc,0.2189112903225806,0.061,0.20333333333333334,0.061,baseline,original,Lc,3
1,5,10,0,5,8.234999999999994,18,49,40,37,38,44,8.722999999999994,11.101999999999991,0.061,1.1589999999999994,19,17,1,5,50,46,1,5,5,1,60,5,6,Lc,0.17446,0.24134782608695646,0.061,0.2318,baseline,original,Lc,3
1,6,11,1,7,9.149999999999993,14,39,22,24,13,21,10.186999999999992,7.8689999999999936,3.9649999999999967,4.940999999999996,20,17,11,12,45,33,18,19,6,1,72,6,6,Lc,0.22637777777777776,0.23845454545454545,0.22027777777777774,0.2600526315789473,baseline,original,Lc,3
